"participant","version","source_cluster","block","trial_in_block","current_ap","current_hp","intact","nam_unn","rs_rt_n","key_resp_14.keys","key_resp_14.corr"
865,"A",6,6,15,"unn2/abstract08d_ap.jpg","unn2/abstract08d_hp.jpg","right","unn","N","right",1
865,"A",6,6,16,"Nam2/inanimate01b_ap.jpg","Nam2/inanimate01c_hp.jpg","left","nam","RS","left",1
865,"A",6,6,17,"unn2/abstract03c_ap.jpg","unn2/abstract03c_hp.jpg","right","unn","RS","left",0
865,"A",6,6,18,"Nam2/inanimate09a_ap.jpg","Nam2/inanimate09_hp.jpg","left","nam","N","left",1
865,"A",6,6,19,"unn2/abstract05e_ap.jpg","unn2/abstract05d_hp.jpg","left","unn","RT","left",1
865,"A",6,6,20,"Nam2/inanimate05_ap.jpg","Nam2/inanimate05_hp.jpg","right","nam","RT","right",1
865,"A",6,6,21,"unn2/abstract08e_ap.jpg","unn2/abstract08e_hp.jpg","right","unn","N","right",1
865,"A",6,6,22,"Nam2/inanimate09_ap.jpg","Nam2/inanimate09a_hp.jpg","left","nam","N","left",1
865,"A",6,6,23,"Nam2/inanimate01c_ap.jpg","Nam2/inanimate01b_hp.jpg","left","nam","RS","left",1
865,"A",6,6,24,"Nam2/inanimate05a_ap.jpg","Nam2/inanimate05a_hp.jpg","right","nam","RT","right",1
865,"A",7,7,1,"unn2/abstract02b_ap.jpg","unn2/abstract02c_hp.jpg","left","unn","RS","right",0
865,"A",7,7,2,"unn2/abstract05b_ap.jpg","unn2/abstract05b_hp.jpg","right","unn","RT","right",1
865,"A",7,7,3,"unn2/abstract08b_ap.jpg","unn2/abstract08c_hp.jpg","left","unn","N","left",1
865,"A",7,7,4,"Nam2/inanimate02d_ap.jpg","Nam2/inanimate02d_hp.jpg","right","nam","RS","right",1
865,"A",7,7,5,"unn2/abstract02c_ap.jpg","unn2/abstract02b_hp.jpg","left","unn","RS","left",1
865,"A",7,7,6,"Nam2/inanimate10c_ap.jpg","Nam2/inanimate10c_hp.jpg","right","nam","N","right",1
865,"A",7,7,7,"unn2/abstract05c_ap.jpg","unn2/abstract05c_hp.jpg","right","unn","RT","right",1
